homelon,homelat,homecontinent,n
8.5241122,76.9360573,Thiruvananthapuram,1
21.2379469,81.6336833,Raipur,2
17.360589,78.4740613,Hyderabad,4
28.4646148,77.0299194,Gurugram,1
25.6093239,85.1235252,Patna,1
11.5523741,77.26537577,Sathyamangalam,1
30.3255646,78.0436813,Dehradun,1
17.5456307,80.6116162,Kothagudem,1
28.6517178,77.2219388,Delhi,12
17.2090633,78.6187488,Sheriguda,1
18.51349055,73.57979201,Mulshi,1
20.5431241,84.6897321,Odisha,2
29.0264162,79.4859989,Pantnagar,1
25.1968256,76.00089331,Kota,2
19.83778845,74.48278751,Kopargaon,1
10.3473705,76.2176635,Irinjalakkuda,1
23.0216238,72.5797068,Ahmedabad,2
21.1498134,79.0820556,Nagpur,5
30.92589585,77.08200509,Solan,1
23.2495714,87.8681751,Burdwan,1
31.583333,76.25,Una,1
31.29201065,75.56805772,Jalandhar,2
26.2967719,73.0351433,Jodhpur,1
29.0033144,77.0167323,Sonipat,1
18.0265966,83.4061689,Jonnada,1
17.8914105,79.6154257,Bollikunta,1
9.9261153,78.1140983,Madurai,1
18.9068356,75.6741579,Maharashtra,2
35.8372794,0.1693314,Mesra,1
22.2539994,84.85775201,Rourkela,1
28.42826235,77.00270015,Gurgaon,2
23.2584857,77.401989,Bhopal,1
12.836393,79.7053304,Kanchipuram,1
29,76,Haryana,2
10.9094334,78.3665347,Tamil nadu,1
22.3053263,70.8028377,Rajkot,1
26.8381,80.9346001,Lucknow,2
26.4609135,80.3217588,Kanpur,3
22.9749723,88.4345915,Kalyani,1
24.8178611,92.75622075,Silchar,1
26.58687695,90.29293105,Kokrajhar,1
31.81676015,77.34932052,Himachal pradesh,1
26.9154576,75.8189817,Jaipur,9
30.7334421,76.7797143,Chandigarh,2
12.9767936,77.590082,Bengaluru,2
19.0759899,72.8773928,Mumbai,6
12.22721295,79.07015555,Tiruvannamalai,1
14.5203896,75.7223521,Karnataka,1
17.84990665,75.27632027,Solapur,1
28.4670734,77.5137649,Greater noida,1
21.15454115,77.64429618,Amravati,1
32.166667,75.316667,Gurdaspur,1
22.5414185,88.35769124,Kolkata,5
9.517467,76.84021215,Koovappally,1
13.0836939,80.270186,Chennai,3
28.0450348,76.0017013,Mukandpura,1
28.0159286,73.3171367,Bikaner,1
15.3503192,74.1017817,Goa,2
16.2915189,80.4541588,Guntur,1
45.6752028,11.2290565,Lonere,1
18.521428,73.8544541,Pune,11
28.6138954,77.2090057,New delhi,2
51.5276441,-0.1035989252,City,1
22.2973142,73.1942567,Vadodara,1
15.4540505,75.0066516,Dharwad,1
27.7521116,85.8842066,Tekanpur,1
21.49308515,86.63272983,Berhampur,1
17.7231276,83.3012842,Visakhapatnam,2
25.53103115,78.65268902,Jhansi,1
31.2206734,75.7696463,Phagwara,1
22.7203616,75.8681996,Indore,1
30.2090874,76.33987209,Patiala,1
17.46,121.31,Kalinga,1
15.9052608,80.4680501,Bapatla,1
10.78789845,76.47408711,Palakkad,1
28.5707841,77.3271074,Noida,5
25.4381302,81.8338005,Allahabad,1
23.6871297,86.9746587,Asansol,1
29.8693496,77.8902124,Roorkee,1
10.4863885,78.1593261,Ayyalur,1
23.3700501,85.3250387,Ranchi,1
45.9383,3.2553,Surat,1
20.28105765,85.81140263,Bhubaneswar,3
34.0747444,74.8204443,Srinagar,1
28.711241,77.4445372,Ghaziabad,1
18.96558885,73.10288131,Panvel,1
22.5584995,72.9625629,Anand,2
18.6293451,73.7809946,Chinchwada,1
24.578721,73.6862571,Udaipur,1
23.6015557,72.3867981,Mehsana,2
16.5295,74.0359,Dhamdod,1
31.2806922,67.56344925,Jalandar,1
32.7185614,74.8580917,Jammu,2
29.00065255,77.76822875,Meerut,1
25.75,80,Hamirpur,1
11.0018115,76.9628425,Coimbatore,2
9.886527,76.4290988,Arakkunnam,1
17.7255921,75.30019363,Pandharpur,2
26.1805978,91.753943,Guwahati,1
9.8497872,76.9797914,Idukki,1
12.9767936,77.590082,Bangalore,4
30.9293211,75.5004841,Punjab,1
32.5686782,74.071481,Gujrat,2
21.19903535,81.39795456,Durg,2
12.3051828,76.6553609,Mysore,3
